Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",310.22,331.74,274.78,328.65,"43,883,000","481,606,000"
"Jun 26, 2017",324.59,331.31,265.86,304.65,"36,083,400","503,912,000"
"Jun 25, 2017",356.86,359.04,307.36,330.04,"28,035,800","554,006,000"
"Jun 24, 2017",381.16,384.91,359.83,362.57,"22,252,900","591,734,000"
"Jun 23, 2017",370.64,392.40,369.33,385.84,"24,419,100","575,399,000"
"Jun 22, 2017",378.96,386.61,361.11,378.56,"29,971,100","588,315,000"
"Jun 21, 2017",394.25,397.36,357.88,378.22,"31,746,200","612,054,000"
"Jun 20, 2017",393.26,426.40,385.34,401.20,"66,283,200","610,509,000"
"Jun 19, 2017",375.67,399.40,372.11,391.89,"29,471,100","583,207,000"
"Jun 18, 2017",387.14,387.68,371.41,376.82,"19,743,700","598,756,000"
"Jun 17, 2017",388.45,391.98,370.38,384.86,"28,059,300","597,978,000"
"Jun 16, 2017",395.48,402.09,364.08,387.43,"38,818,700","606,012,000"
"Jun 15, 2017",381.73,407.36,288.83,387.34,"68,123,100","582,192,000"
"Jun 14, 2017",368.09,443.72,352.73,387.49,"101,232,000","558,715,000"
"Jun 13, 2017",311.55,371.50,311.55,368.28,"44,446,100","470,678,000"
"Jun 12, 2017",329.75,345.50,275.58,311.49,"46,398,200","495,788,000"
"Jun 11, 2017",328.96,343.18,309.48,331.10,"38,020,300","492,266,000"
"Jun 10, 2017",281.31,334.43,281.31,328.66,"38,924,900","418,942,000"
"Jun 09, 2017",271.55,281.13,270.58,281.13,"16,799,000","402,438,000"
"Jun 08, 2017",264.36,283.62,259.21,272.24,"23,372,600","389,903,000"
"Jun 07, 2017",259.50,312.65,258.06,262.79,"50,328,900","380,849,000"
"Jun 06, 2017",254.20,265.25,247.13,259.36,"20,436,100","371,267,000"
"Jun 05, 2017",238.82,281.45,238.42,253.03,"43,925,100","347,104,000"
"Jun 04, 2017",229.02,244.27,227.92,239.52,"15,806,600","331,190,000"
"Jun 03, 2017",241.52,243.93,228.49,230.00,"18,667,600","347,532,000"
"Jun 02, 2017",249.16,257.29,240.15,241.68,"15,822,200","356,721,000"
"Jun 01, 2017",235.72,261.55,234.48,249.27,"23,902,700","335,810,000"
"May 31, 2017",233.50,254.38,228.39,235.67,"30,347,500","330,973,000"
"May 30, 2017",206.01,246.78,203.15,232.93,"35,817,600","290,541,000"
