Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",0.023125,0.024648,0.020695,0.021781,38969,23301100
"Jul 27, 2017",0.023782,0.024647,0.019680,0.023028,75829,23963700
"Jul 26, 2017",0.022454,0.023867,0.020632,0.023715,36962,22625400
"Jul 25, 2017",0.027965,0.028250,0.021664,0.022444,71775,28178200
"Jul 24, 2017",0.028786,0.029828,0.027151,0.027968,90047,29005000
"Jul 23, 2017",0.029111,0.029556,0.026645,0.029416,47351,29332500
"Jul 22, 2017",0.027175,0.029414,0.026650,0.028944,35810,27382000
"Jul 21, 2017",0.027008,0.028667,0.025077,0.027180,52466,27213600
"Jul 20, 2017",0.021494,0.027729,0.021494,0.026809,105240,21657400
"Jul 19, 2017",0.021931,0.023341,0.020824,0.021536,95522,22098300
"Jul 18, 2017",0.016751,0.025432,0.016414,0.021896,301421,16878600
"Jul 17, 2017",0.013970,0.017294,0.013696,0.016708,27500,14076600
"Jul 16, 2017",0.015440,0.015616,0.013299,0.013948,28851,15558000
"Jul 15, 2017",0.016639,0.017637,0.014665,0.015487,24105,16765100
"Jul 14, 2017",0.018190,0.019238,0.015203,0.016667,58826,18327900
"Jul 13, 2017",0.019676,0.020881,0.017250,0.017922,59058,19825300
"Jul 12, 2017",0.016610,0.019305,0.015525,0.019305,67297,16736100
"Jul 11, 2017",0.017883,0.020673,0.016113,0.016670,102867,18019300
"Jul 10, 2017",0.030090,0.031651,0.017561,0.017922,176256,30318100
"Jul 09, 2017",0.028298,0.032260,0.027288,0.030006,100076,28513000
"Jul 08, 2017",0.026415,0.030089,0.024945,0.028273,60012,26615500
"Jul 07, 2017",0.031329,0.032786,0.024918,0.026417,146557,31567100
"Jul 06, 2017",0.033534,0.036256,0.029493,0.031049,158234,33788200
"Jul 05, 2017",0.034347,0.036336,0.031600,0.033517,112771,34607500
"Jul 04, 2017",0.035410,0.038636,0.032576,0.033562,142080,35678500
"Jul 03, 2017",0.036720,0.042923,0.033575,0.036101,282955,36998300
"Jul 02, 2017",0.027560,0.037435,0.026784,0.036781,178493,27769200
"Jul 01, 2017",0.033099,0.033808,0.026731,0.028382,286204,33349800
"Jun 30, 2017",0.037982,0.040505,0.031752,0.033112,234236,38269400
"Jun 29, 2017",0.041836,0.044035,0.034540,0.037982,316995,42153000
"Jun 28, 2017",0.041795,0.044057,0.039737,0.042207,272627,42111400
"Jun 27, 2017",0.038540,0.042030,0.033505,0.042030,329142,38831900
"Jun 26, 2017",0.042810,0.050282,0.031980,0.038540,645139,43133600
"Jun 25, 2017",0.043661,0.046530,0.040019,0.042782,348443,43991400
"Jun 24, 2017",0.045159,0.052767,0.042404,0.043761,1027800,45500300
"Jun 23, 2017",0.034774,0.048808,0.033675,0.045191,510652,35036900
"Jun 22, 2017",0.032393,0.036703,0.032393,0.034774,207457,32638100
"Jun 21, 2017",0.032736,0.036426,0.031822,0.032393,215689,32983000
"Jun 20, 2017",0.035644,0.039167,0.032485,0.032985,589398,35913800
"Jun 19, 2017",0.029277,0.036568,0.028252,0.035669,442623,29497900
"Jun 18, 2017",0.026914,0.031650,0.026639,0.029951,202898,27117000
"Jun 17, 2017",0.027153,0.028136,0.025805,0.026914,117076,27357800
"Jun 16, 2017",0.027346,0.028958,0.024303,0.027153,165339,27552200
"Jun 15, 2017",0.029485,0.029556,0.021635,0.027294,140733,29707000
"Jun 14, 2017",0.028811,0.031517,0.027757,0.029412,157262,29028300
"Jun 13, 2017",0.028127,0.030488,0.026743,0.028476,196199,28339100
"Jun 12, 2017",0.030607,0.032698,0.025065,0.028222,145769,30837700
"Jun 11, 2017",0.030967,0.034540,0.028464,0.030648,218400,31200500
"Jun 10, 2017",0.030268,0.039361,0.028744,0.031331,545124,30496100
"Jun 09, 2017",0.028376,0.032176,0.027197,0.031064,196430,28589800
"Jun 08, 2017",0.031098,0.033247,0.025978,0.028421,476326,31331900
"Jun 07, 2017",0.034286,0.044986,0.026192,0.032060,1426840,34544200
"Jun 06, 2017",0.023983,0.035024,0.023159,0.032959,953127,24163900
"Jun 05, 2017",0.021667,0.023911,0.020809,0.023911,230015,21829700
"Jun 04, 2017",0.021490,0.023101,0.020354,0.021662,166362,21651300
"Jun 03, 2017",0.019090,0.021647,0.018701,0.021548,133322,19233700
"Jun 02, 2017",0.018321,0.019504,0.017648,0.018678,75404,18458500
"Jun 01, 2017",0.017318,0.018895,0.016178,0.018301,63640,17448600
"May 31, 2017",0.016207,0.017501,0.015501,0.017303,40601,16328600
"May 30, 2017",0.018063,0.018161,0.015944,0.016143,53796,18199300
"May 29, 2017",0.016008,0.018486,0.014221,0.018042,57954,16128800
"May 28, 2017",0.014071,0.018302,0.014071,0.016041,53739,14176800
"May 27, 2017",0.016738,0.017844,0.010967,0.014691,57857,16863300
"May 26, 2017",0.018169,0.020486,0.016371,0.016682,49632,18305400
"May 25, 2017",0.022143,0.023350,0.017824,0.018304,116421,22309700
"May 24, 2017",0.022453,0.023650,0.020591,0.022401,230512,22621500
"May 23, 2017",0.019412,0.023168,0.019412,0.022246,116494,19558100
"May 22, 2017",0.021760,0.023967,0.018490,0.021064,161877,21922800
"May 21, 2017",0.020030,0.021809,0.019428,0.021809,136745,20180000
"May 20, 2017",0.016001,0.021041,0.015825,0.019590,159426,16121300
"May 19, 2017",0.016889,0.018110,0.014842,0.016253,140594,17015900
"May 18, 2017",0.017136,0.019670,0.014809,0.016880,139591,17264900
"May 17, 2017",0.013500,0.017226,0.013414,0.017128,134139,13601400
"May 16, 2017",0.013186,0.014956,0.012728,0.013504,33936,13284600
"May 15, 2017",0.015572,0.015582,0.012820,0.013188,70851,15688600
"May 14, 2017",0.014658,0.016168,0.014392,0.015563,97215,14767500
"May 13, 2017",0.014451,0.015777,0.012403,0.014593,86371,14558800
"May 12, 2017",0.013758,0.015862,0.013757,0.014481,85738,13860700
"May 11, 2017",0.015539,0.016067,0.012661,0.013726,125028,15655200
"May 10, 2017",0.015870,0.018424,0.014823,0.015581,197597,15989100
"May 09, 2017",0.011016,0.019636,0.010951,0.015783,310217,11098500
"May 08, 2017",0.010293,0.011187,0.010087,0.010978,80791,10369600
"May 07, 2017",0.010137,0.010999,0.009900,0.010291,55900,10212900
"May 06, 2017",0.009691,0.011039,0.009691,0.009994,63187,9762960
"May 05, 2017",0.010164,0.010690,0.009667,0.009682,129407,10239700
"May 04, 2017",0.009750,0.011007,0.009617,0.010119,154091,9823000
"May 03, 2017",0.010250,0.010311,0.009452,0.009746,124621,10326500
"May 02, 2017",0.010018,0.010469,0.009462,0.010229,183144,10093100
"May 01, 2017",0.010110,0.010669,0.009188,0.010065,165640,10185600
"Apr 30, 2017",0.008868,0.010857,0.008858,0.010080,170673,8934460
"Apr 29, 2017",0.009095,0.009260,0.008501,0.008934,73751,9162800
"Apr 28, 2017",0.008241,0.009281,0.007982,0.009108,61205,8302080
"Apr 27, 2017",0.010065,0.010193,0.006962,0.008228,92612,10140000
"Apr 26, 2017",0.010978,0.011222,0.006522,0.010056,119420,11059800
"Apr 25, 2017",0.010681,0.011040,0.009893,0.010921,71898,10760100
"Apr 24, 2017",0.011176,0.011254,0.008994,0.010653,161753,11258900
"Apr 23, 2017",0.012210,0.013039,0.010669,0.011200,151655,12301000
"Apr 22, 2017",0.008691,0.014676,0.008595,0.012200,514100,8756110
"Apr 21, 2017",0.006192,0.008911,0.005893,0.008479,165884,6238080
"Apr 20, 2017",0.006028,0.006469,0.005716,0.006192,40163,6072750
"Apr 19, 2017",0.006085,0.006683,0.005447,0.006016,41071,6130740
"Apr 18, 2017",0.006471,0.006901,0.005802,0.006083,46862,6519380
"Apr 17, 2017",0.004889,0.006667,0.004713,0.006472,72322,4924900
"Apr 16, 2017",0.004561,0.005176,0.004498,0.004865,41234,4595330
"Apr 15, 2017",0.004285,0.004724,0.004236,0.004561,44560,4316880
"Apr 14, 2017",0.004423,0.004528,0.004071,0.004345,26549,4455610
"Apr 13, 2017",0.004313,0.004763,0.004235,0.004419,29031,4344990
