Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",0.266129,0.284524,0.266129,0.278059,29241,79838800
"Jul 27, 2017",0.252396,0.269585,0.251413,0.265325,20996,75718700
"Jul 26, 2017",0.256026,0.272063,0.243953,0.251684,22927,76807900
"Jul 25, 2017",0.285026,0.296733,0.245395,0.255936,20900,85507900
"Jul 24, 2017",0.288943,0.323707,0.274879,0.284610,15171,86683000
"Jul 23, 2017",0.315702,0.349336,0.286248,0.289280,15537,94710700
"Jul 22, 2017",0.318880,0.380601,0.300333,0.360083,44916,95663900
"Jul 21, 2017",0.383023,0.392972,0.303172,0.316832,20282,114907000
"Jul 20, 2017",0.270626,0.405974,0.252996,0.380400,75723,81187800
"Jul 19, 2017",0.264995,0.291790,0.234368,0.271442,28682,-
"Jul 18, 2017",0.269168,0.330786,0.244024,0.264574,39231,-
"Jul 17, 2017",0.294808,0.331944,0.154881,0.268275,103681,-
"Jul 16, 2017",0.321826,0.351546,0.288112,0.326279,89609,-
"Jul 15, 2017",0.200605,0.472745,0.199441,0.322805,181847,-
"Jul 14, 2017",0.178222,0.229176,0.178222,0.200928,67941,-
"Jul 13, 2017",0.150812,0.236561,0.150748,0.178352,53595,-
"Jul 12, 2017",0.043574,0.306204,0.043095,0.150700,99252,-
"Jul 11, 2017",0.047661,0.047661,0.041468,0.043638,13133,-
