Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",0.139857,0.141703,0.128941,0.132606,56218300,363245000
"Jul 27, 2017",0.136653,0.141934,0.133738,0.139318,47770900,354918000
"Jul 26, 2017",0.135259,0.139011,0.118946,0.135242,74220000,351291000
"Jul 25, 2017",0.169484,0.171959,0.123648,0.134935,94408800,440178000
"Jul 24, 2017",0.171096,0.173965,0.159125,0.170034,56439400,444357000
"Jul 23, 2017",0.186975,0.201357,0.154281,0.171230,174032000,485590000
"Jul 22, 2017",0.146107,0.184828,0.144420,0.184828,139575000,379448000
"Jul 21, 2017",0.137972,0.158390,0.134860,0.146249,85524200,358317000
"Jul 20, 2017",0.110992,0.140540,0.110992,0.137125,70334800,288245000
"Jul 19, 2017",0.125167,0.129692,0.108605,0.110864,57232800,325053000
"Jul 18, 2017",0.107068,0.130363,0.100840,0.125388,67042900,278046000
"Jul 17, 2017",0.095963,0.110593,0.095963,0.106933,37680400,249206000
"Jul 16, 2017",0.102175,0.104656,0.093527,0.094878,39027600,265333000
"Jul 15, 2017",0.121009,0.121009,0.102630,0.102630,43382000,314238000
"Jul 14, 2017",0.131072,0.131351,0.119265,0.121278,29603900,340366000
"Jul 13, 2017",0.148013,0.153035,0.127011,0.131762,50329000,384357000
"Jul 12, 2017",0.123174,0.146387,0.117663,0.145868,60739800,319852000
"Jul 11, 2017",0.139049,0.143839,0.113680,0.123521,57816000,361069000
"Jul 10, 2017",0.169473,0.174875,0.135510,0.141495,40934400,440071000
"Jul 09, 2017",0.193144,0.195657,0.169763,0.169800,27774400,501526000
"Jul 08, 2017",0.187437,0.198217,0.163040,0.191866,70812300,486707000
"Jul 07, 2017",0.217152,0.217152,0.186215,0.188542,40615500,563863000
"Jul 06, 2017",0.229781,0.231115,0.214231,0.217133,34376700,596650000
"Jul 05, 2017",0.236603,0.237395,0.219819,0.230054,50491300,614358000
"Jul 04, 2017",0.250465,0.266269,0.237199,0.237508,74827400,650344000
"Jul 03, 2017",0.212627,0.260064,0.206837,0.248136,128439000,552090000
"Jul 02, 2017",0.225781,0.225781,0.197354,0.214291,71511700,586240000
"Jul 01, 2017",0.247147,0.247666,0.226343,0.227891,36725000,641710000
"Jun 30, 2017",0.254587,0.259918,0.247962,0.248337,32301400,661020000
"Jun 29, 2017",0.277306,0.277966,0.252043,0.256396,48186900,720000000
"Jun 28, 2017",0.249929,0.282441,0.236783,0.277695,93570900,648913000
"Jun 27, 2017",0.262872,0.267221,0.220018,0.245319,76238100,682511000
"Jun 26, 2017",0.299263,0.302859,0.228994,0.262872,108451000,776988000
"Jun 25, 2017",0.313018,0.318172,0.296244,0.299584,57168300,812692000
"Jun 24, 2017",0.331931,0.337252,0.312489,0.314287,53119800,861785000
"Jun 23, 2017",0.307737,0.344919,0.304199,0.330783,117987000,798964000
"Jun 22, 2017",0.319993,0.323665,0.305996,0.307943,44301000,830779000
"Jun 21, 2017",0.333981,0.337137,0.310172,0.319381,71884600,867085000
"Jun 20, 2017",0.326206,0.351852,0.324437,0.334546,108988000,846903000
"Jun 19, 2017",0.324401,0.338066,0.321848,0.325901,73486600,842207000
"Jun 18, 2017",0.340462,0.344423,0.322369,0.325842,57903200,883897000
"Jun 17, 2017",0.317747,0.362639,0.316648,0.340724,135751000,824916000
"Jun 16, 2017",0.338324,0.338908,0.314417,0.317811,88788800,878326000
"Jun 15, 2017",0.330582,0.345714,0.274912,0.337111,197389000,858221000
"Jun 14, 2017",0.366063,0.367106,0.319276,0.330564,125612000,950325000
"Jun 13, 2017",0.374712,0.392090,0.354350,0.365409,150849000,972771000
"Jun 12, 2017",0.396948,0.413492,0.332016,0.375152,317523000,1033040000
"Jun 11, 2017",0.356447,0.392043,0.288861,0.392043,352320000,927625000
"Jun 10, 2017",0.267138,0.467672,0.254823,0.351983,726073000,695200000
"Jun 09, 2017",0.176738,0.285476,0.167248,0.268265,345241000,459938000
"Jun 08, 2017",0.104821,0.177156,0.095568,0.177156,133216000,272781000
"Jun 07, 2017",0.116158,0.120210,0.105324,0.105324,20041600,302281000
"Jun 06, 2017",0.109312,0.119985,0.101073,0.115772,32658700,284463000
"Jun 05, 2017",0.109698,0.122962,0.106997,0.109340,38522500,285464000
"Jun 04, 2017",0.097089,0.112370,0.094859,0.108851,37002000,252651000
"Jun 03, 2017",0.090344,0.100059,0.083783,0.097184,22652200,235096000
"Jun 02, 2017",0.077195,0.091161,0.077195,0.090561,24481300,200875000
"Jun 01, 2017",0.065041,0.077817,0.065041,0.077113,15459200,169247000
"May 31, 2017",0.064452,0.065840,0.060336,0.065332,7652850,167711000
"May 30, 2017",0.065848,0.071906,0.062611,0.064255,12222200,171339000
"May 29, 2017",0.061267,0.066641,0.058328,0.065819,8702930,159418000
"May 28, 2017",0.060653,0.070662,0.052850,0.062078,15400900,157818000
"May 27, 2017",0.059647,0.063488,0.040652,0.060442,21151000,155200000
"May 26, 2017",0.076994,0.087626,0.051688,0.059636,14679300,200331000
"May 25, 2017",0.092702,0.093675,0.074035,0.079459,19546800,241195000
"May 24, 2017",0.094467,0.106778,0.092367,0.093079,19314000,245778000
"May 23, 2017",0.087388,0.097879,0.085645,0.094623,17262900,227352000
"May 22, 2017",0.100517,0.100517,0.075632,0.086625,24227200,261499000
"May 21, 2017",0.090672,0.108477,0.088778,0.100298,33733900,235879000
"May 20, 2017",0.080519,0.093142,0.077172,0.090412,37864200,209458000
"May 19, 2017",0.060395,0.080767,0.059066,0.080767,27672500,157104000
"May 18, 2017",0.048483,0.060930,0.046896,0.060769,13858300,126112000
"May 17, 2017",0.046250,0.049485,0.043099,0.048664,10693400,120299000
"May 16, 2017",0.040653,0.048179,0.039444,0.045950,14058000,105737000
"May 15, 2017",0.039539,0.041075,0.036635,0.040268,6102760,102836000
"May 14, 2017",0.037519,0.039806,0.036791,0.039198,4358400,97574200
"May 13, 2017",0.038643,0.038883,0.034601,0.037302,4382080,100491000
"May 12, 2017",0.037017,0.042020,0.037017,0.038853,6154060,96255500
"May 11, 2017",0.040758,0.040758,0.034807,0.037167,6905020,105975000
"May 10, 2017",0.038087,0.043885,0.036149,0.040501,8064410,99023700
"May 09, 2017",0.054153,0.058414,0.030645,0.038643,20727100,140785000
"May 08, 2017",0.034720,0.057259,0.034256,0.052888,26007600,90255700
"May 07, 2017",0.032428,0.040501,0.030267,0.034804,16653700,84294400
"May 06, 2017",0.024163,0.032807,0.023505,0.032128,11524000,62804400
"May 05, 2017",0.018143,0.026235,0.018143,0.024069,10907300,47154900
"May 04, 2017",0.015959,0.018449,0.015893,0.018133,3050820,41475700
"May 03, 2017",0.014891,0.015972,0.014629,0.015972,1029420,38697800
"May 02, 2017",0.015328,0.015991,0.013940,0.014889,2164250,39830500
"May 01, 2017",0.016461,0.017299,0.014856,0.015361,3364830,42769800
"Apr 30, 2017",0.015487,0.017284,0.015350,0.016456,3028980,40237700
"Apr 29, 2017",0.013943,0.015939,0.013943,0.015442,2456690,36222200
"Apr 28, 2017",0.013267,0.014029,0.013146,0.013964,1010360,34462900
"Apr 27, 2017",0.013135,0.013411,0.012891,0.013233,715142,34120100
"Apr 26, 2017",0.013245,0.013756,0.012824,0.013135,1468170,34401100
"Apr 25, 2017",0.013794,0.013854,0.012922,0.013315,1453040,35825000
"Apr 24, 2017",0.012752,0.013839,0.012488,0.013839,1422220,33116700
"Apr 23, 2017",0.012295,0.012931,0.011820,0.012750,1456000,31928700
"Apr 22, 2017",0.011833,0.012729,0.011747,0.012301,1117400,30727100
"Apr 21, 2017",0.011280,0.012185,0.011114,0.011813,1113300,29288700
"Apr 20, 2017",0.012430,0.013258,0.010770,0.011227,2329900,32272000
"Apr 19, 2017",0.011424,0.012925,0.010915,0.012479,1549520,29658500
"Apr 18, 2017",0.010307,0.011553,0.010300,0.011433,893037,26756900
"Apr 17, 2017",0.011146,0.011236,0.010269,0.010333,1126240,28933600
"Apr 16, 2017",0.010668,0.011684,0.010668,0.011121,1287070,27690500
"Apr 15, 2017",0.009386,0.011114,0.009281,0.010726,2035390,24361200
"Apr 14, 2017",0.008866,0.009657,0.008664,0.009371,703626,23009500
"Apr 13, 2017",0.008707,0.009297,0.008657,0.008854,767462,22595700
"Apr 12, 2017",0.008298,0.008918,0.008117,0.008711,368844,21533000
"Apr 11, 2017",0.008458,0.008462,0.008149,0.008297,237886,21945200
"Apr 10, 2017",0.008252,0.008471,0.007932,0.008456,331709,21410600
"Apr 09, 2017",0.008544,0.008827,0.007997,0.008262,667866,22165700
"Apr 08, 2017",0.008334,0.008675,0.008161,0.008591,288126,21619400
"Apr 07, 2017",0.008528,0.008670,0.008064,0.008352,574502,22121100
"Apr 06, 2017",0.009242,0.009418,0.008210,0.008515,771102,23971900
"Apr 05, 2017",0.009101,0.010005,0.008693,0.009294,1207520,23604200
"Apr 04, 2017",0.009394,0.009738,0.008462,0.009042,1326610,24360700
"Apr 03, 2017",0.010630,0.012822,0.008837,0.009262,4109690,27563700
"Apr 02, 2017",0.006853,0.012540,0.006675,0.010667,5820790,17767800
"Apr 01, 2017",0.006452,0.006927,0.006232,0.006839,555132,16726700
"Mar 31, 2017",0.006236,0.007694,0.006100,0.006433,1817370,16165000
"Mar 30, 2017",0.006201,0.006560,0.005870,0.006260,653536,16074300
"Mar 29, 2017",0.005507,0.006878,0.005297,0.006193,1372580,14273700
"Mar 28, 2017",0.005440,0.005555,0.005171,0.005511,230442,14098000
"Mar 27, 2017",0.005153,0.005589,0.005112,0.005427,223561,13354800
"Mar 26, 2017",0.005185,0.005349,0.005005,0.005142,174704,13434000
"Mar 25, 2017",0.005429,0.005523,0.004958,0.005184,434928,14065500
"Mar 24, 2017",0.005579,0.005818,0.005314,0.005420,413267,14453800
"Mar 23, 2017",0.005695,0.005789,0.005454,0.005620,223156,14752000
"Mar 22, 2017",0.005623,0.005778,0.005260,0.005691,403992,14565900
"Mar 21, 2017",0.005581,0.006206,0.005412,0.005635,1134330,14454600
"Mar 20, 2017",0.004797,0.005906,0.004669,0.005561,742686,12423600
"Mar 19, 2017",0.004486,0.004860,0.004400,0.004797,363132,11617700
"Mar 18, 2017",0.005003,0.005087,0.004395,0.004515,633333,12955900
"Mar 17, 2017",0.004402,0.005249,0.004300,0.005011,1090330,11398400
"Mar 16, 2017",0.004995,0.005940,0.004384,0.004424,405846,12932500
"Mar 15, 2017",0.004284,0.005242,0.004239,0.005242,321743,11091000
"Mar 14, 2017",0.004059,0.004369,0.003972,0.004314,288304,10505500
"Mar 13, 2017",0.003719,0.004185,0.003710,0.004058,377294,9624490
"Mar 12, 2017",0.003580,0.003744,0.003566,0.003704,162554,9265560
"Mar 11, 2017",0.003495,0.003756,0.003486,0.003579,84985,9043230
"Mar 10, 2017",0.003593,0.003708,0.003360,0.003504,133175,9295780
"Mar 09, 2017",0.003669,0.003727,0.003486,0.003599,131407,9492520
"Mar 08, 2017",0.003679,0.003863,0.003660,0.003675,140506,9517250
"Mar 07, 2017",0.003662,0.003788,0.003642,0.003679,141660,9472770
"Mar 06, 2017",0.003540,0.003648,0.003520,0.003638,125354,9156810
"Mar 05, 2017",0.003453,0.003577,0.003437,0.003546,47728,8930140
"Mar 04, 2017",0.003592,0.004670,0.003392,0.003447,136140,9288460
"Mar 03, 2017",0.003683,0.003734,0.003490,0.003592,115801,9524500
"Mar 02, 2017",0.003492,0.003692,0.003452,0.003629,122407,9028780
"Mar 01, 2017",0.003573,0.003620,0.003385,0.003472,243416,9238460
"Feb 28, 2017",0.003798,0.003822,0.003128,0.003541,251704,9818090
"Feb 27, 2017",0.003801,0.003851,0.003758,0.003794,39968,9823640
"Feb 26, 2017",0.003895,0.003932,0.003774,0.003801,44366,10067500
"Feb 25, 2017",0.003914,0.003962,0.003831,0.003889,41488,10115400
"Feb 24, 2017",0.003814,0.003919,0.003766,0.003905,92973,9856800
"Feb 23, 2017",0.003828,0.003851,0.003734,0.003816,58985,9891870
"Feb 22, 2017",0.003845,0.003845,0.003631,0.003789,115368,9934310
"Feb 21, 2017",0.004012,0.004035,0.003816,0.003844,56018,10365100
"Feb 20, 2017",0.004031,0.004048,0.003974,0.004012,34355,10413300
"Feb 19, 2017",0.004003,0.004096,0.003962,0.004021,44687,10339600
"Feb 18, 2017",0.004143,0.004191,0.003975,0.003998,86237,10700900
"Feb 17, 2017",0.004061,0.004195,0.004040,0.004138,105245,10489100
"Feb 16, 2017",0.004049,0.004136,0.004043,0.004064,58702,10455800
"Feb 15, 2017",0.003995,0.004064,0.003948,0.004040,32082,10316400
"Feb 14, 2017",0.003871,0.004044,0.003871,0.003999,56480,9995850
"Feb 13, 2017",0.003965,0.004043,0.003865,0.003865,56327,10237700
"Feb 12, 2017",0.004045,0.004050,0.003939,0.003966,59665,10444900
"Feb 11, 2017",0.003936,0.004080,0.003889,0.004047,85146,10164200
"Feb 10, 2017",0.003772,0.004084,0.003746,0.003935,236288,9739780
"Feb 09, 2017",0.004039,0.004047,0.003621,0.003781,144435,10429300
"Feb 08, 2017",0.004094,0.004145,0.003994,0.004037,77959,10569500
"Feb 07, 2017",0.003957,0.004106,0.003955,0.004092,79643,10215500
"Feb 06, 2017",0.003981,0.004058,0.003936,0.003955,99859,10277700
"Feb 05, 2017",0.004051,0.004052,0.003926,0.003978,59515,10458100
"Feb 04, 2017",0.003945,0.004067,0.003850,0.004067,72746,10183500
"Feb 03, 2017",0.004094,0.004123,0.003924,0.003930,72570,10566600
"Feb 02, 2017",0.004062,0.004116,0.003939,0.004093,99888,10483800
"Feb 01, 2017",0.004046,0.004088,0.003977,0.004062,76888,10442200
"Jan 31, 2017",0.004133,0.004158,0.003949,0.004059,74828,10666700
"Jan 30, 2017",0.004157,0.004174,0.004013,0.004134,77841,10729100
"Jan 29, 2017",0.003818,0.004180,0.003818,0.004159,106277,9853160
"Jan 28, 2017",0.003868,0.003919,0.003792,0.003818,39402,9982340
"Jan 27, 2017",0.003836,0.003892,0.003807,0.003868,45063,9898050
"Jan 26, 2017",0.003668,0.003880,0.003614,0.003832,85667,9464660
"Jan 25, 2017",0.003699,0.003707,0.003626,0.003658,23913,9543420
"Jan 24, 2017",0.003697,0.003753,0.003675,0.003685,17435,9537300
"Jan 23, 2017",0.003692,0.003768,0.003620,0.003698,54820,9525310
"Jan 22, 2017",0.003794,0.003818,0.003620,0.003694,72739,9787150
"Jan 21, 2017",0.003882,0.003891,0.003712,0.003794,59382,10015600
"Jan 20, 2017",0.003877,0.003894,0.003802,0.003882,39786,10002300
"Jan 19, 2017",0.003947,0.003983,0.003810,0.003878,55482,10179800
"Jan 18, 2017",0.003913,0.003961,0.003809,0.003945,53214,10092100
"Jan 17, 2017",0.003916,0.004012,0.003767,0.003911,106850,10101800
"Jan 16, 2017",0.003797,0.003968,0.003781,0.003911,52343,9794860
"Jan 15, 2017",0.003856,0.003877,0.003713,0.003810,54688,9943670
"Jan 14, 2017",0.003725,0.003872,0.003638,0.003852,85817,9606990
"Jan 13, 2017",0.003768,0.003846,0.003668,0.003717,54270,9717700
