Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",25.25,25.89,21.72,23.20,1466680,136730000
"Jul 27, 2017",25.89,25.97,24.49,25.17,444541,140044000
"Jul 26, 2017",25.76,26.57,23.45,25.82,519526,139150000
"Jul 25, 2017",28.27,29.64,23.59,25.90,1679880,152478000
"Jul 24, 2017",28.14,29.23,27.11,28.41,853258,151585000
"Jul 23, 2017",30.11,30.69,25.74,28.48,828897,161983000
"Jul 22, 2017",26.78,30.28,26.60,30.02,1070060,143869000
"Jul 21, 2017",26.78,28.92,25.86,26.87,720384,143707000
"Jul 20, 2017",23.06,27.91,23.06,26.85,1274350,123563000
"Jul 19, 2017",24.91,25.92,22.96,23.30,813883,133317000
"Jul 18, 2017",24.62,26.30,22.77,24.72,1384330,131571000
"Jul 17, 2017",18.80,24.66,18.80,24.42,1098540,100370000
"Jul 16, 2017",19.92,21.05,17.51,19.13,884628,106193000
"Jul 15, 2017",22.37,22.84,19.04,20.21,788266,119067000
"Jul 14, 2017",25.61,25.67,21.18,22.55,1280400,136178000
"Jul 13, 2017",28.26,28.71,25.13,25.67,806704,150033000
"Jul 12, 2017",25.44,28.49,23.02,28.19,1542700,134895000
"Jul 11, 2017",24.57,31.31,24.57,25.44,2338340,130152000
"Jul 10, 2017",33.22,33.95,24.00,24.58,2196480,175724000
"Jul 09, 2017",36.57,36.96,32.73,33.11,2005270,193186000
"Jul 08, 2017",29.81,37.63,29.48,36.88,2927310,157260000
"Jul 07, 2017",35.19,36.99,29.62,29.89,1441280,185385000
"Jul 06, 2017",37.27,37.27,34.90,35.16,905811,196079000
"Jul 05, 2017",36.32,39.35,34.00,37.33,3216940,190855000
"Jul 04, 2017",31.81,36.89,31.81,36.26,1909980,166912000
"Jul 03, 2017",29.73,32.63,28.73,31.86,1183960,155746000
"Jul 02, 2017",29.34,30.70,27.48,29.80,1261070,153510000
"Jul 01, 2017",32.35,34.87,27.63,29.21,2355220,169093000
"Jun 30, 2017",34.27,34.52,31.69,32.26,1922690,178839000
"Jun 29, 2017",36.02,37.10,33.06,34.20,1066580,187711000
"Jun 28, 2017",36.62,37.37,34.23,36.09,1453690,190554000
"Jun 27, 2017",35.26,36.26,29.13,36.26,2134180,183242000
"Jun 26, 2017",38.66,40.86,29.57,35.26,3233030,200625000
"Jun 25, 2017",43.14,43.44,35.90,38.81,2068440,223596000
"Jun 24, 2017",46.17,48.53,41.35,43.29,2074380,238976000
"Jun 23, 2017",42.82,47.34,42.44,45.55,3936480,221303000
"Jun 22, 2017",36.87,44.80,36.74,43.12,5629680,190323000
"Jun 21, 2017",35.68,38.74,34.61,37.04,2080240,183928000
"Jun 20, 2017",40.18,40.61,34.39,35.71,3106890,206818000
"Jun 19, 2017",42.08,42.08,38.76,40.05,5853420,216323000
"Jun 18, 2017",32.03,45.72,31.79,41.95,11185200,164444000
"Jun 17, 2017",32.51,32.51,30.88,31.83,1336480,166673000
"Jun 16, 2017",30.16,32.95,28.52,32.57,1267190,154382000
"Jun 15, 2017",31.06,31.71,25.57,30.18,1402140,158782000
"Jun 14, 2017",36.74,37.57,30.21,31.22,1413710,187546000
"Jun 13, 2017",33.42,37.54,33.04,36.87,2086310,170407000
