Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",0.002308,0.002351,0.002083,0.002097,940656,15888500
"Jul 27, 2017",0.002144,0.002322,0.002142,0.002307,869123,14758500
"Jul 26, 2017",0.002145,0.002209,0.002044,0.002139,867080,14766200
"Jul 25, 2017",0.002501,0.002566,0.002067,0.002147,915788,17214800
"Jul 24, 2017",0.002278,0.002715,0.002232,0.002509,794522,15684600
"Jul 23, 2017",0.002291,0.002453,0.002178,0.002268,493542,15775100
"Jul 22, 2017",0.002175,0.002670,0.002169,0.002299,283475,14975400
"Jul 21, 2017",0.002294,0.002356,0.002153,0.002167,237366,15793900
"Jul 20, 2017",0.001734,0.002360,0.001734,0.002270,262164,11934900
"Jul 19, 2017",0.001819,0.001970,0.001721,0.001742,247780,12523700
"Jul 18, 2017",0.001655,0.002065,0.001574,0.001790,392006,11393000
"Jul 17, 2017",0.001409,0.001652,0.001376,0.001652,456695,9701760
"Jul 16, 2017",0.001484,0.001518,0.001325,0.001431,222276,10212800
"Jul 15, 2017",0.001672,0.001699,0.001487,0.001487,378042,11506700
"Jul 14, 2017",0.001825,0.001863,0.001576,0.001632,470353,12560900
"Jul 13, 2017",0.002068,0.002114,0.001801,0.001825,447632,14233100
"Jul 12, 2017",0.001843,0.002079,0.001590,0.002067,466590,12683900
"Jul 11, 2017",0.002147,0.002204,0.001761,0.001803,258778,14780900
"Jul 10, 2017",0.002658,0.002680,0.002050,0.002116,453934,18299600
"Jul 09, 2017",0.002877,0.003031,0.002608,0.002654,215735,19806900
"Jul 08, 2017",0.002801,0.003068,0.002577,0.002875,453497,19280600
"Jul 07, 2017",0.003387,0.003884,0.002637,0.002799,1931760,23314800
"Jul 06, 2017",0.002335,0.003458,0.002302,0.003402,1479420,16072500
"Jul 05, 2017",0.002331,0.002390,0.002250,0.002334,624588,16043900
"Jul 04, 2017",0.002571,0.002680,0.002264,0.002342,654814,17696100
"Jul 03, 2017",0.002222,0.002687,0.002092,0.002591,728267,15297500
"Jul 02, 2017",0.002220,0.002303,0.002152,0.002248,493856,15277300
"Jul 01, 2017",0.002475,0.002548,0.002207,0.002245,566906,17038300
"Jun 30, 2017",0.002681,0.002847,0.002460,0.002468,556537,18452900
"Jun 29, 2017",0.002891,0.002987,0.002550,0.002673,885005,19897800
"Jun 28, 2017",0.002906,0.002924,0.002637,0.002876,916516,20003100
"Jun 27, 2017",0.002826,0.002992,0.002504,0.002888,692967,19452900
"Jun 26, 2017",0.003167,0.003294,0.002420,0.002826,490411,21797900
"Jun 25, 2017",0.003519,0.003647,0.002908,0.003082,1156740,24222400
"Jun 24, 2017",0.003946,0.003966,0.003405,0.003485,1232830,27160300
"Jun 23, 2017",0.003475,0.004049,0.003391,0.003977,1894580,23914000
"Jun 22, 2017",0.003401,0.003798,0.003401,0.003477,2067720,23407000
"Jun 21, 2017",0.003322,0.003588,0.003123,0.003384,1130010,22861400
"Jun 20, 2017",0.002976,0.003374,0.002754,0.003291,1551920,20479300
"Jun 19, 2017",0.003651,0.003872,0.002945,0.002960,1960440,25128500
"Jun 18, 2017",0.004114,0.004362,0.003540,0.003616,2010440,28312100
"Jun 17, 2017",0.004699,0.004782,0.003921,0.004045,2318290,32338800
"Jun 16, 2017",0.004451,0.004866,0.004271,0.004683,2708860,30632100
"Jun 15, 2017",0.004764,0.004874,0.003982,0.004450,2304470,32786100
"Jun 14, 2017",0.005493,0.005744,0.004604,0.004746,2615940,37802300
"Jun 13, 2017",0.004710,0.006174,0.004533,0.005445,3943230,32412400
"Jun 12, 2017",0.005750,0.006313,0.004487,0.004859,4988930,39569200
"Jun 11, 2017",0.005923,0.006444,0.004888,0.005757,2750200,40761100
"Jun 10, 2017",0.007470,0.007937,0.005875,0.005875,891705,51410900
"Jun 09, 2017",0.006918,0.008453,0.006658,0.007555,5897600,47612100
"Jun 08, 2017",0.006196,0.007278,0.005895,0.006907,4679300,42637900
"Jun 07, 2017",0.007329,0.007470,0.005705,0.006003,3002210,50436900
"Jun 06, 2017",0.007469,0.007479,0.005807,0.007326,5471570,51401800
"Jun 05, 2017",0.006449,0.008010,0.006143,0.007478,9915550,44380400
"Jun 04, 2017",0.005016,0.006975,0.004599,0.006456,10441800,34519100
"Jun 03, 2017",0.001838,0.005253,0.001732,0.005019,7013040,12648300
"Jun 02, 2017",0.001536,0.001859,0.001486,0.001825,3314410,10573200
"Jun 01, 2017",0.001534,0.001797,0.001387,0.001532,1315180,10552800
"May 31, 2017",0.001224,0.001740,0.001193,0.001532,402985,8420620
"May 30, 2017",0.001339,0.001440,0.001185,0.001237,64919,9211150
"May 29, 2017",0.001482,0.001540,0.001283,0.001331,89631,10195400
"May 28, 2017",0.001468,0.001767,0.001396,0.001485,390386,10103000
"May 27, 2017",0.001535,0.001592,0.000928,0.001457,695381,10560900
"May 26, 2017",0.001770,0.001994,0.001413,0.001530,545591,12182900
"May 25, 2017",0.002078,0.002385,0.001720,0.001813,1271720,14297700
"May 24, 2017",0.001539,0.002152,0.001442,0.002062,2297400,10592800
"May 23, 2017",0.001171,0.001552,0.001036,0.001552,1614200,8054920
"May 22, 2017",0.001353,0.001713,0.001110,0.001192,1237720,9311410
"May 21, 2017",0.000593,0.001764,0.000569,0.001378,2046730,4081450
