Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",14.56,15.07,9.95,12.01,123847,14696400
"Jul 27, 2017",13.71,14.92,13.33,14.33,170543,13817500
"Jul 26, 2017",13.67,13.95,11.52,13.67,104121,13778100
"Jul 25, 2017",10.85,14.20,10.18,12.80,107927,10929200
"Jul 24, 2017",10.69,11.10,10.45,10.85,85625,10763600
"Jul 23, 2017",11.05,11.41,9.86,10.52,74862,11130700
"Jul 22, 2017",10.00,11.75,9.92,11.17,83331,10065700
"Jul 21, 2017",11.07,11.31,8.99,10.10,115093,11142500
"Jul 20, 2017",11.28,13.19,8.81,10.99,292849,11341900
"Jul 19, 2017",13.24,14.28,10.30,12.33,162377,13310200
"Jul 18, 2017",14.70,15.69,11.54,13.22,165145,14761700
"Jul 17, 2017",12.01,14.74,12.00,14.72,133472,12050300
"Jul 16, 2017",13.14,13.54,11.20,12.22,123929,13177100
"Jul 15, 2017",21.19,21.19,5.21,13.12,528970,21217600
"Jul 14, 2017",26.15,27.02,15.38,21.22,474069,26114300
"Jul 13, 2017",29.12,29.74,25.80,26.45,383475,28926500
"Jul 12, 2017",24.22,29.52,23.32,28.38,356367,23974400
"Jul 11, 2017",26.67,26.67,22.29,24.26,426426,26267400
"Jul 10, 2017",27.18,31.65,24.88,26.74,392072,26657400
"Jul 09, 2017",32.73,33.56,22.83,27.50,540454,31993500
"Jul 08, 2017",34.87,36.58,29.97,32.65,433534,33836800
"Jul 07, 2017",42.16,49.07,26.17,34.74,1543120,40590000
"Jul 06, 2017",37.17,46.10,33.86,41.56,1083020,35603000
"Jul 05, 2017",22.81,40.29,21.92,37.38,1478440,21769800
"Jul 04, 2017",22.26,23.32,21.83,22.75,288360,21174700
"Jul 03, 2017",20.67,23.11,19.88,22.40,296738,19573500
"Jul 02, 2017",21.61,21.61,18.84,20.74,229278,20384100
"Jul 01, 2017",14.05,23.62,14.01,21.06,647145,13131400
"Jun 30, 2017",12.20,14.73,11.62,14.18,246533,11333300
"Jun 29, 2017",12.33,12.81,10.98,12.18,150098,11376300
"Jun 28, 2017",9.11,12.71,8.91,12.52,249395,8393910
"Jun 27, 2017",9.12,9.33,8.16,9.05,65263,8382660
"Jun 26, 2017",9.53,9.69,6.57,8.95,91698,8720250
"Jun 25, 2017",9.51,10.00,9.17,9.43,85092,8679150
"Jun 24, 2017",10.27,10.48,9.44,9.82,104097,9322380
"Jun 23, 2017",7.86,10.40,7.49,10.26,125542,7113270
"Jun 22, 2017",7.72,8.29,7.07,8.03,52788,6970550
"Jun 21, 2017",7.75,8.31,7.23,7.34,55188,6984070
"Jun 20, 2017",7.59,9.99,6.27,7.84,132760,6794360
"Jun 19, 2017",5.92,8.12,5.91,7.56,113819,5264040
"Jun 18, 2017",5.44,6.24,5.17,6.24,62559,4817790
"Jun 17, 2017",4.80,5.94,4.75,5.34,43041,4231310
"Jun 16, 2017",4.71,5.46,4.30,4.94,33225,4146700
"Jun 15, 2017",5.02,5.46,4.13,4.64,25467,4411350
"Jun 14, 2017",5.32,5.78,4.54,5.16,65665,4669740
"Jun 13, 2017",4.66,5.68,4.66,5.50,97564,4089010
"Jun 12, 2017",4.41,5.19,3.78,5.04,71420,3864640
"Jun 11, 2017",4.28,5.18,4.09,4.58,40090,3753690
"Jun 10, 2017",4.53,4.81,3.89,4.29,21337,3969070
"Jun 09, 2017",4.63,5.07,4.07,4.63,23584,4060020
"Jun 08, 2017",4.40,5.27,3.90,4.86,24524,3855180
"Jun 07, 2017",4.87,5.72,4.22,4.48,21716,4265290
"Jun 06, 2017",4.65,5.97,4.14,4.79,51508,4058160
"Jun 05, 2017",3.63,4.72,3.43,4.09,24523,3164940
"Jun 04, 2017",4.01,4.14,3.40,3.59,19099,3493860
"Jun 03, 2017",4.16,4.59,3.51,4.01,26116,3622610
"Jun 02, 2017",4.49,4.88,3.98,4.17,32634,3901680
"Jun 01, 2017",4.13,4.81,3.93,4.62,17494,3587340
"May 31, 2017",3.75,4.54,3.50,4.23,48735,3246320
"May 30, 2017",3.55,5.15,3.45,3.52,37077,3070950
