Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",0.341570,0.358082,0.316086,0.354524,356164,10517600
"Jul 27, 2017",0.328225,0.357017,0.278865,0.340537,220356,9785090
"Jul 26, 2017",0.272668,0.363283,0.255940,0.327296,207559,7833450
"Jul 25, 2017",0.287120,0.360357,0.258269,0.272544,127497,7720830
"Jul 24, 2017",0.327726,0.343891,0.278412,0.287150,191377,8658400
"Jul 23, 2017",0.534249,0.535296,0.071267,0.328107,589433,12750400
"Jul 22, 2017",0.454263,0.547981,0.452088,0.534248,234072,10387100
"Jul 21, 2017",0.528918,0.549759,0.446917,0.454355,177246,12080300
"Jul 20, 2017",0.405961,0.541590,0.405961,0.525024,117089,9265050
"Jul 19, 2017",0.455913,0.473482,0.405462,0.407185,211501,9500140
"Jul 18, 2017",0.455400,0.478121,0.372847,0.455189,163940,8589840
"Jul 17, 2017",0.419004,0.454228,0.350768,0.454228,86881,7571340
"Jul 16, 2017",0.397190,0.451274,0.375756,0.419470,423466,6112490
"Jul 15, 2017",0.421755,0.453502,0.390932,0.398388,81162,6068960
"Jul 14, 2017",0.397973,0.487763,0.369625,0.422480,238062,5344940
"Jul 13, 2017",0.453367,0.640738,0.395748,0.398265,111200,5597240
"Jul 12, 2017",0.366203,0.455945,0.339613,0.453030,102785,3963700
"Jul 11, 2017",0.295679,0.401331,0.294772,0.366747,27325,3057170
"Jul 10, 2017",0.303131,0.329094,0.263337,0.296310,95600,2978440
"Jul 09, 2017",0.288078,0.330445,0.285010,0.302542,244086,2561380
"Jul 08, 2017",0.300447,0.328827,0.228929,0.287821,179958,2540700
"Jul 07, 2017",0.297399,0.303403,0.246296,0.300195,219559,2517740
"Jul 06, 2017",0.234005,0.298026,0.231262,0.297180,200894,1873780
"Jul 05, 2017",0.259010,0.259010,0.220329,0.233889,165002,2069180
"Jul 04, 2017",0.237928,0.259163,0.220260,0.259149,324568,1862820
"Jun 28, 2017",0.244642,0.244910,0.235571,0.244708,51522,1654370
"Jun 27, 2017",0.197783,0.256232,0.193763,0.243057,51174,1312720
"Jun 26, 2017",0.244291,0.250304,0.193888,0.195149,23533,1537080
"Jun 25, 2017",0.256543,0.284207,0.244419,0.244419,50221,1446150
"Jun 24, 2017",0.269304,0.310711,0.256862,0.257133,30698,1506600
"Jun 23, 2017",0.237310,0.271225,0.237310,0.269335,26102,1324260
