Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",0.138074,0.145018,0.126999,0.130495,58336,17192800
"Jul 27, 2017",0.133534,0.143810,0.132577,0.137658,35715,16627500
"Jul 26, 2017",0.138625,0.143150,0.128016,0.133483,17124,17261500
"Jul 25, 2017",0.156614,0.156614,0.131020,0.138688,51896,19501500
"Jul 24, 2017",0.138370,0.164526,0.129965,0.157096,80062,17229700
"Jul 23, 2017",0.137497,0.159228,0.126362,0.135232,150346,17121000
"Jul 22, 2017",0.131767,0.142493,0.130739,0.135688,7146,16407500
"Jul 21, 2017",0.133392,0.138181,0.124611,0.132290,16705,16609800
"Jul 20, 2017",0.108138,0.137274,0.108138,0.132410,15481,13465300
"Jul 19, 2017",0.108574,0.119639,0.104593,0.108845,13712,13519600
"Jul 18, 2017",0.102722,0.116310,0.100020,0.108402,8938,12790800
"Jul 17, 2017",0.082987,0.104843,0.081872,0.102696,28462,10333400
"Jul 16, 2017",0.095285,0.095880,0.077516,0.082816,13651,11864800
"Jul 15, 2017",0.107908,0.112888,0.093238,0.093891,23663,13436600
"Jul 14, 2017",0.109101,0.117950,0.097348,0.108424,49764,13585100
"Jul 13, 2017",0.118917,0.120311,0.101853,0.108221,13837,14807400
"Jul 12, 2017",0.098188,0.131353,0.091133,0.119068,37900,12225400
"Jul 11, 2017",0.119179,0.120357,0.092986,0.098364,40784,14834400
"Jul 10, 2017",0.139955,0.141974,0.116620,0.118932,104267,17415500
"Jul 09, 2017",0.126547,0.141592,0.106476,0.139346,64967,15742300
"Jul 08, 2017",0.134383,0.145156,0.124833,0.126545,27141,16712100
"Jul 07, 2017",0.135050,0.147545,0.124536,0.134477,88989,16790100
"Jul 06, 2017",0.141190,0.172299,0.131583,0.135244,317046,17548200
"Jul 05, 2017",0.100411,0.160668,0.092068,0.152821,284685,12476300
"Jul 04, 2017",0.099387,0.103728,0.092326,0.100927,36499,12345600
"Jul 03, 2017",0.091802,0.099638,0.090180,0.099214,13047,11399800
"Jul 02, 2017",0.089359,0.092627,0.087689,0.090386,19225,11093200
"Jul 01, 2017",0.100420,0.102618,0.088741,0.089165,22722,12462500
"Jun 30, 2017",0.103389,0.108980,0.098794,0.100566,32744,12827700
"Jun 29, 2017",0.105226,0.107534,0.096216,0.103183,31685,13051800
"Jun 28, 2017",0.102048,0.108292,0.096212,0.103570,43811,12654000
"Jun 27, 2017",0.097941,0.102722,0.089623,0.101329,21233,12141000
"Jun 26, 2017",0.109291,0.114206,0.089474,0.094434,36498,13544100
"Jun 25, 2017",0.120723,0.126688,0.106759,0.109785,32026,14956500
"Jun 24, 2017",0.120285,0.128179,0.109546,0.120992,109536,14897400
"Jun 23, 2017",0.099957,0.122025,0.098787,0.120558,42250,12376000
"Jun 22, 2017",0.101364,0.109256,0.093733,0.100275,35499,12547000
"Jun 21, 2017",0.105724,0.108765,0.101978,0.102832,22300,13082400
"Jun 20, 2017",0.115207,0.119230,0.101760,0.106145,37324,14252300
"Jun 19, 2017",0.115826,0.149531,0.108651,0.115445,29813,14324400
