Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",0.274876,0.278459,0.262736,0.265118,2884740,764026000
"Jul 27, 2017",0.276850,0.285551,0.275467,0.275467,3343540,769512000
"Jul 26, 2017",0.250571,0.283478,0.241237,0.274598,4626790,696469000
"Jul 25, 2017",0.266827,0.269072,0.237998,0.250453,2917500,741654000
"Jul 24, 2017",0.265136,0.273468,0.242731,0.266447,4502060,736952000
"Jul 23, 2017",0.273693,0.280241,0.258485,0.269072,3065860,760738000
"Jul 22, 2017",0.263390,0.278936,0.254406,0.273382,4107430,732099000
"Jul 21, 2017",0.294760,0.305506,0.257626,0.264134,6344870,819295000
"Jul 20, 2017",0.233503,0.298253,0.232192,0.292460,10332500,649028000
"Jul 19, 2017",0.268162,0.284031,0.230686,0.232212,6339730,745365000
"Jul 18, 2017",0.264569,0.309577,0.248754,0.267340,11433600,735378000
"Jul 17, 2017",0.180717,0.278088,0.179114,0.263105,15254300,502309000
"Jul 16, 2017",0.157961,0.185445,0.155173,0.180978,4178170,439057000
"Jul 15, 2017",0.175237,0.176099,0.147933,0.158688,3913220,487076000
"Jul 14, 2017",0.212999,0.214112,0.161877,0.175350,3347860,592038000
"Jul 13, 2017",0.229099,0.238625,0.194249,0.214589,4129150,636787000
"Jul 12, 2017",0.191125,0.237362,0.183955,0.228758,4646480,531237000
"Jul 11, 2017",0.214742,0.231574,0.185681,0.187596,6946200,596881000
"Jul 10, 2017",0.304476,0.304476,0.190539,0.217061,8233640,846301000
"Jul 09, 2017",0.297377,0.312770,0.285475,0.302889,2474500,826569000
"Jul 08, 2017",0.286164,0.320908,0.281393,0.305515,3273950,795402000
"Jul 07, 2017",0.355803,0.355994,0.271859,0.284565,8804780,988966000
"Jul 06, 2017",0.380253,0.382865,0.317295,0.353880,8218370,1056920000
"Jul 05, 2017",0.396273,0.400841,0.371809,0.380130,3061100,1101450000
"Jul 04, 2017",0.374900,0.410698,0.373865,0.396390,3933710,1042050000
"Jul 03, 2017",0.379055,0.384955,0.356024,0.376139,3873180,1053600000
"Jul 02, 2017",0.391880,0.396890,0.366798,0.382249,2971770,1089240000
"Jul 01, 2017",0.402295,0.414192,0.381489,0.389630,2334640,1118190000
"Jun 30, 2017",0.417167,0.453008,0.398195,0.401591,5044270,1159530000
"Jun 29, 2017",0.375767,0.459387,0.361568,0.417798,5324020,1044460000
"Jun 28, 2017",0.399874,0.399874,0.357338,0.379136,4704400,1111460000
"Jun 27, 2017",0.411989,0.420035,0.353549,0.392269,4411090,1145140000
"Jun 26, 2017",0.470192,0.473662,0.351156,0.402438,9101080,1306910000
"Jun 25, 2017",0.514185,0.525564,0.454951,0.470941,5012890,1429190000
"Jun 24, 2017",0.482769,0.635612,0.482769,0.512910,19215500,1341870000
"Jun 23, 2017",0.417769,0.480910,0.408405,0.480910,3768560,1161200000
"Jun 22, 2017",0.413371,0.427283,0.407261,0.417742,2343320,1148980000
"Jun 21, 2017",0.419439,0.437340,0.405037,0.413547,3999810,1165840000
"Jun 20, 2017",0.414299,0.422032,0.398649,0.418494,3755470,1151560000
"Jun 19, 2017",0.405456,0.420990,0.388231,0.412183,3543640,1126980000
"Jun 18, 2017",0.420597,0.426069,0.393790,0.405862,2514450,1169060000
"Jun 17, 2017",0.426762,0.444205,0.414139,0.419906,3100660,1186200000
"Jun 16, 2017",0.353285,0.448249,0.309852,0.410757,6920690,981966000
"Jun 15, 2017",0.528284,0.543165,0.300365,0.363661,10300400,1468380000
"Jun 14, 2017",0.592347,0.606196,0.495745,0.528916,14194900,1646450000
"Jun 13, 2017",0.638503,0.652862,0.533910,0.590255,25425600,1774740000
