Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",2.35,2.41,2.27,2.33,219530,53219300
"Jul 27, 2017",2.39,2.43,2.23,2.40,240154,-
"Jul 26, 2017",2.36,2.43,2.15,2.39,253449,-
"Jul 25, 2017",2.57,2.63,2.27,2.38,306434,-
"Jul 24, 2017",2.73,2.73,2.34,2.59,629080,-
"Jul 23, 2017",2.80,3.02,2.54,2.72,504660,-
"Jul 22, 2017",2.86,2.89,2.75,2.81,384718,-
"Jul 21, 2017",2.65,3.21,2.65,2.85,844796,-
"Jul 20, 2017",2.47,2.71,2.42,2.67,444044,-
"Jul 19, 2017",2.85,2.87,2.41,2.49,662114,-
"Jul 18, 2017",2.87,2.90,2.71,2.84,688102,-
"Jul 17, 2017",2.34,2.91,2.32,2.84,783836,-
"Jul 16, 2017",1.97,2.41,1.95,2.35,770689,-
"Jul 15, 2017",1.99,2.20,1.90,2.06,786860,-
"Jul 14, 2017",1.76,2.08,1.65,1.97,355879,-
"Jul 13, 2017",1.91,2.07,1.72,1.77,247427,-
"Jul 12, 2017",1.48,1.90,1.41,1.90,221133,-
"Jul 11, 2017",1.87,1.87,1.34,1.48,408543,-
"Jul 10, 2017",2.20,2.37,1.70,1.82,316470,-
"Jul 09, 2017",2.42,2.49,2.19,2.19,341665,-
"Jul 08, 2017",2.43,2.43,2.05,2.42,397700,-
"Jul 07, 2017",2.81,2.82,2.43,2.43,389197,-
"Jul 06, 2017",2.82,2.93,2.75,2.80,388423,-
"Jul 05, 2017",3.03,3.14,2.68,2.86,513030,-
"Jul 04, 2017",3.09,3.21,2.99,3.05,559692,-
"Jul 03, 2017",2.96,3.14,2.82,3.04,621000,-
"Jul 02, 2017",3.31,3.31,2.67,2.98,644980,-
"Jul 01, 2017",3.66,3.67,3.27,3.32,573443,-
"Jun 30, 2017",3.93,3.93,3.59,3.62,547755,-
"Jun 29, 2017",4.10,4.11,3.74,3.92,558771,-
"Jun 28, 2017",4.07,4.23,3.69,4.07,786704,-
"Jun 27, 2017",4.46,4.58,3.09,4.08,1424020,-
"Jun 26, 2017",5.44,5.50,3.81,4.33,1497800,-
"Jun 25, 2017",5.65,5.77,5.03,5.45,1416700,-
"Jun 24, 2017",5.42,6.23,5.25,5.66,2666640,-
"Jun 23, 2017",5.42,5.50,5.28,5.44,1059860,-
"Jun 22, 2017",5.50,5.65,5.30,5.42,886136,-
"Jun 21, 2017",5.48,5.70,5.12,5.49,928249,-
"Jun 20, 2017",5.76,5.76,5.42,5.52,1732880,-
"Jun 19, 2017",5.03,5.85,4.83,5.76,1209340,-
"Jun 18, 2017",5.01,5.14,4.79,5.03,564260,-
"Jun 17, 2017",4.77,5.09,4.67,4.98,525094,-
"Jun 16, 2017",4.75,4.98,4.61,4.82,334433,-
"Jun 15, 2017",4.90,4.94,4.08,4.79,341765,-
"Jun 14, 2017",5.24,5.42,4.71,4.84,511714,-
"Jun 13, 2017",4.75,5.48,4.59,5.31,565392,-
"Jun 12, 2017",5.17,5.30,4.64,4.71,576435,-
"Jun 11, 2017",5.25,5.29,4.96,5.12,578033,-
"Jun 10, 2017",5.49,5.50,5.15,5.21,873042,-
"Jun 09, 2017",5.94,6.16,5.26,5.49,1496850,-
"Jun 08, 2017",5.56,5.96,5.25,5.94,1007020,-
"Jun 07, 2017",5.98,6.01,5.38,5.56,1004770,-
"Jun 06, 2017",5.81,6.24,5.81,5.98,772477,-
"Jun 05, 2017",5.78,5.88,5.71,5.78,1239070,-
