Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",0.892572,0.896601,0.796593,0.801890,149063,17341800
"Jul 27, 2017",0.802826,0.895834,0.799951,0.892337,166805,15598100
"Jul 26, 2017",0.752156,0.802297,0.721633,0.800925,143587,14613700
"Jul 25, 2017",0.968922,0.972010,0.730737,0.753861,210004,18825200
"Jul 24, 2017",0.978703,1.05,0.902454,0.968618,262799,19015200
"Jul 23, 2017",0.866057,1.12,0.837987,0.984462,471135,16826600
"Jul 22, 2017",0.714437,0.870135,0.710710,0.868356,186802,13880800
"Jul 21, 2017",0.673833,0.729340,0.662862,0.714258,148728,13091900
"Jul 20, 2017",0.575603,0.721512,0.575603,0.669820,204319,11183400
"Jul 19, 2017",0.681052,0.694510,0.569001,0.574386,221503,13232200
"Jul 18, 2017",0.553497,0.729758,0.530641,0.678345,193385,10753900
"Jul 17, 2017",0.471076,0.583490,0.467348,0.551915,211675,9152540
"Jul 16, 2017",0.509197,0.513629,0.429764,0.471930,129399,9893190
"Jul 15, 2017",0.637782,0.638722,0.510617,0.510617,109659,12391500
"Jul 14, 2017",0.723756,0.733118,0.606594,0.625224,169184,14061900
"Jul 13, 2017",0.705809,0.775546,0.680492,0.724393,280629,13713200
"Jul 12, 2017",0.554947,0.708294,0.530096,0.701135,221800,10782100
"Jul 11, 2017",0.591802,0.687039,0.506440,0.569435,293194,11498100
"Jul 10, 2017",0.823800,0.844299,0.572410,0.593060,402639,16005600
"Jul 09, 2017",1.02,1.04,0.748695,0.805691,448763,19765000
"Jul 08, 2017",1.05,1.07,1.00,1.02,172007,20334300
"Jul 07, 2017",1.28,1.28,1.03,1.05,284250,24777100
"Jul 06, 2017",1.26,1.28,1.20,1.28,293604,24469100
"Jul 05, 2017",1.34,1.34,1.22,1.26,272175,26042600
"Jul 04, 2017",1.36,1.45,1.31,1.34,278542,26363300
"Jul 03, 2017",1.30,1.57,1.26,1.35,457399,25298700
"Jul 02, 2017",1.37,1.42,1.23,1.34,439934,26540300
"Jul 01, 2017",1.43,1.55,1.37,1.37,402282,27874400
"Jun 30, 2017",1.67,1.70,1.41,1.43,463007,32526500
"Jun 29, 2017",1.76,1.83,1.67,1.67,430202,34212300
"Jun 28, 2017",1.92,1.94,1.71,1.78,644797,37386400
"Jun 27, 2017",1.65,1.90,1.45,1.90,441063,32058900
"Jun 26, 2017",1.88,1.97,1.33,1.58,590138,36441500
"Jun 25, 2017",2.15,2.18,1.80,1.88,892047,41720200
"Jun 24, 2017",2.20,2.52,2.06,2.13,1485300,42816900
"Jun 23, 2017",2.00,2.35,1.90,2.20,1771010,38905500
"Jun 22, 2017",2.00,2.37,1.98,2.00,1352570,38946800
"Jun 21, 2017",2.68,2.84,1.85,1.99,1753020,52103800
"Jun 20, 2017",3.29,4.56,2.53,2.65,5779950,63920700
"Jun 19, 2017",2.21,3.25,2.13,3.25,1762160,42991400
"Jun 18, 2017",2.29,2.60,2.06,2.22,562960,44573100
"Jun 17, 2017",2.17,2.38,2.05,2.28,435850,-
"Jun 16, 2017",2.11,2.40,2.00,2.17,575647,-
"Jun 15, 2017",2.14,2.16,1.65,2.08,833425,-
"Jun 14, 2017",2.45,2.65,2.15,2.19,1632900,-
