Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",0.171214,0.174978,0.159316,0.165774,5062930,1540930000
"Jul 27, 2017",0.156868,0.176017,0.156234,0.170475,5341670,1411810000
"Jul 26, 2017",0.157898,0.162653,0.147928,0.156463,2508770,1421080000
"Jul 25, 2017",0.169655,0.178049,0.144687,0.158206,6075320,1526900000
"Jul 24, 2017",0.165990,0.169717,0.158776,0.169644,2995870,1493910000
"Jul 23, 2017",0.176729,0.183786,0.155718,0.166136,5915450,1590560000
"Jul 22, 2017",0.143531,0.177907,0.142594,0.176768,5211550,1291780000
"Jul 21, 2017",0.153860,0.154725,0.138796,0.143792,2788780,1384740000
"Jul 20, 2017",0.126759,0.160815,0.126759,0.152087,3545910,1140830000
"Jul 19, 2017",0.131952,0.137796,0.123911,0.126825,2800440,1187570000
"Jul 18, 2017",0.135869,0.143669,0.117831,0.132327,5351550,1222820000
"Jul 17, 2017",0.097432,0.133729,0.097432,0.133729,4458730,876887000
"Jul 16, 2017",0.111093,0.113553,0.090656,0.097294,2583610,999834000
"Jul 15, 2017",0.117492,0.117726,0.105906,0.111478,3213760,1057430000
"Jul 14, 2017",0.122708,0.124328,0.110816,0.117498,2077230,1104370000
"Jul 13, 2017",0.134372,0.140788,0.115842,0.122953,3135620,1209350000
"Jul 12, 2017",0.117615,0.134940,0.113056,0.133841,3307920,1058530000
"Jul 11, 2017",0.134770,0.139311,0.114620,0.119303,4746410,1212930000
"Jul 10, 2017",0.153407,0.159147,0.115212,0.132048,5462570,1380660000
"Jul 09, 2017",0.158776,0.161705,0.152559,0.152993,2789610,1428980000
"Jul 08, 2017",0.155875,0.159254,0.148550,0.158505,4663310,1402870000
"Jul 07, 2017",0.169279,0.170986,0.153475,0.156905,4444970,1523510000
"Jul 06, 2017",0.174378,0.175928,0.165406,0.169307,3867280,1569400000
"Jul 05, 2017",0.187231,0.188008,0.172970,0.174562,3884360,1685080000
"Jul 04, 2017",0.176291,0.196651,0.173222,0.188350,12967300,1586620000
"Jul 03, 2017",0.159409,0.179955,0.157027,0.176653,5657780,1434680000
"Jul 02, 2017",0.145254,0.159311,0.144208,0.159311,5179360,1307290000
"Jul 01, 2017",0.159596,0.161146,0.143427,0.145722,3496010,1436360000
"Jun 30, 2017",0.163810,0.168455,0.158076,0.159532,4116550,1474290000
"Jun 29, 2017",0.171167,0.176060,0.159967,0.163684,4851220,1540500000
"Jun 28, 2017",0.164123,0.178329,0.155272,0.170694,7495030,1477110000
