Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",0.043577,0.045923,0.036190,0.042182,15678,8848730
"Jul 27, 2017",0.041887,0.044997,0.038357,0.044019,11387,8505220
"Jul 26, 2017",0.044204,0.044950,0.034164,0.041768,12422,8975360
"Jul 25, 2017",0.045561,0.051518,0.037649,0.044206,10305,9250420
"Jul 24, 2017",0.048555,0.055198,0.041593,0.045566,16036,9857880
"Jul 23, 2017",0.042334,0.057594,0.038875,0.048612,47573,8594450
"Jul 22, 2017",0.035569,0.042433,0.032966,0.042334,12029,7220680
"Jul 21, 2017",0.034063,0.037659,0.032490,0.035576,15591,6914690
"Jul 20, 2017",0.029462,0.035978,0.026513,0.033812,32064,5980390
"Jul 19, 2017",0.029318,0.032775,0.027578,0.029551,7346,5950900
"Jul 18, 2017",0.029054,0.033161,0.027046,0.029271,15311,5897000
"Jul 17, 2017",0.026182,0.031629,0.025869,0.030143,11330,5313750
"Jul 16, 2017",0.028924,0.031706,0.023346,0.026211,13775,5869980
"Jul 15, 2017",0.032246,0.034052,0.028925,0.029030,13861,6543970
"Jul 14, 2017",0.033088,0.035206,0.026442,0.032300,24979,6714680
"Jul 13, 2017",0.037166,0.038669,0.032769,0.033112,19012,7542170
"Jul 12, 2017",0.038378,0.039806,0.034745,0.036141,18264,7787660
"Jul 11, 2017",0.030252,0.040456,0.030252,0.038569,41707,6138610
"Jul 10, 2017",0.042448,0.049769,0.029205,0.030316,63301,8613130
"Jul 09, 2017",0.045925,0.053942,0.040973,0.042366,34714,9318300
"Jul 08, 2017",0.043180,0.053526,0.038913,0.045909,49298,8760940
"Jul 07, 2017",0.038564,0.073048,0.038564,0.043182,160140,7824020
"Jul 06, 2017",0.021628,0.051427,0.020809,0.037284,94147,4387910
"Jul 05, 2017",0.018376,0.022197,0.017713,0.021617,21780,3728020
"Jul 04, 2017",0.016250,0.018777,0.016052,0.018386,12173,3296710
"Jul 03, 2017",0.016199,0.017176,0.015894,0.016540,8548,3286250
"Jul 02, 2017",0.015047,0.016980,0.013237,0.016617,22035,3052400
"Jul 01, 2017",0.013073,0.016011,0.011276,0.014868,33102,2651950
"Jun 30, 2017",0.012479,0.014519,0.011704,0.013102,27716,2531160
"Jun 29, 2017",0.012913,0.012913,0.010347,0.012454,6185,2619330
"Jun 28, 2017",0.011127,0.013723,0.010045,0.012925,17706,2256970
"Jun 27, 2017",0.010731,0.016034,0.008145,0.010555,18624,2176490
"Jun 26, 2017",0.007145,0.012663,0.007111,0.012264,7795,1449100
"Jun 25, 2017",0.007104,0.009206,0.007004,0.007148,9549,1440880
"Jun 24, 2017",0.008609,0.009350,0.005930,0.007377,20241,1746060
"Jun 23, 2017",0.009542,0.012146,0.006774,0.009283,32248,1935300
"Jun 22, 2017",0.008793,0.011990,0.006245,0.009542,26158,1783270
"Jun 21, 2017",0.011241,0.015962,0.005496,0.007644,35997,2279650
"Jun 20, 2017",0.018460,0.021708,0.005246,0.011241,122060,3740320
"Jun 19, 2017",0.002773,0.022482,0.002598,0.015113,105283,561723
"Jun 18, 2017",0.001424,0.003247,0.001424,0.002748,23462,287953
"Jun 17, 2017",0.001124,0.001424,0.000874,0.001424,5347,227262
"Jun 16, 2017",0.000507,0.001124,0.000492,0.001124,4192,101930
"Jun 15, 2017",0.000491,0.000513,0.000374,0.000507,42,98829
"Jun 14, 2017",0.000515,0.000633,0.000252,0.000491,380,103461
"Jun 13, 2017",0.000475,0.000525,0.000352,0.000515,55,95343
"Jun 12, 2017",0.000387,0.000567,0.000387,0.000477,70,77542
"Jun 11, 2017",0.000549,0.000562,0.000385,0.000387,135,110161
"Jun 10, 2017",0.000506,0.000551,0.000478,0.000550,212,101407
"Jun 09, 2017",0.000364,0.000510,0.000308,0.000505,398,73002
"Jun 08, 2017",0.000377,0.000377,0.000270,0.000365,569,75513
"Jun 07, 2017",0.000373,0.000399,0.000342,0.000348,69,74704
"Jun 06, 2017",0.000350,0.000409,0.000350,0.000373,57,70226
"Jun 05, 2017",0.000403,0.000413,0.000343,0.000349,41,80723
"Jun 04, 2017",0.000329,0.000404,0.000322,0.000403,43,66038
"Jun 03, 2017",0.000445,0.000446,0.000328,0.000330,26,89301
"Jun 02, 2017",0.000336,0.000446,0.000289,0.000446,72,67345
"Jun 01, 2017",0.000366,0.000438,0.000327,0.000336,31,73352
"May 31, 2017",0.000263,0.000370,0.000243,0.000366,142,52683
"May 30, 2017",0.000364,0.000476,0.000244,0.000262,265,73058
"May 29, 2017",0.000434,0.000503,0.000328,0.000364,1200,87038
"May 28, 2017",0.000389,0.001107,0.000249,0.000435,11973,77930
"May 27, 2017",0.000492,0.000508,0.000370,0.000386,31,98655
"May 26, 2017",0.000664,0.000696,0.000369,0.000491,1214,133061
"May 25, 2017",0.000390,0.000708,0.000302,0.000369,594,78097
"May 24, 2017",0.000339,0.000465,0.000321,0.000390,117,68005
"May 23, 2017",0.000295,0.000340,0.000279,0.000339,218,59146
"May 22, 2017",0.000245,0.000360,0.000244,0.000295,28,49058
"May 21, 2017",0.000389,0.000475,0.000244,0.000244,171,77918
"May 20, 2017",0.000471,0.000478,0.000256,0.000389,38,94410
"May 19, 2017",0.000358,0.000472,0.000358,0.000471,0,71817
"May 18, 2017",0.000217,0.000642,0.000217,0.000358,298,43588
"May 17, 2017",0.000313,0.000327,0.000198,0.000218,158,62735
"May 16, 2017",0.000311,0.000399,0.000295,0.000313,18,62356
"May 15, 2017",0.000412,0.000413,0.000311,0.000312,89,82566
"May 14, 2017",0.000320,0.000466,0.000319,0.000412,31,64196
"May 13, 2017",0.000458,0.000613,0.000262,0.000319,654,91764
