Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",8.03,11.33,5.63,11.08,72127,29620200
"Jul 27, 2017",7.14,8.08,5.36,8.00,7289,26335700
"Jul 26, 2017",7.19,7.90,5.13,7.12,30066,26533200
"Jul 25, 2017",8.82,8.88,5.98,7.19,12342,32554100
"Jul 24, 2017",8.93,9.00,7.95,8.83,16223,32922000
"Jul 23, 2017",9.28,9.36,8.10,8.94,6571,34219400
"Jul 22, 2017",8.76,9.31,7.41,9.28,8099,32318000
"Jul 21, 2017",8.89,9.84,7.26,8.77,21267,32793200
"Jul 20, 2017",6.09,9.10,6.09,8.83,9837,22458400
"Jul 19, 2017",7.74,8.88,6.03,6.10,6171,28531900
"Jul 18, 2017",7.25,8.39,6.83,7.73,6764,26704400
"Jul 17, 2017",5.43,7.24,5.43,7.23,4488,19991200
"Jul 16, 2017",5.92,6.64,4.03,5.43,8907,21795300
"Jul 15, 2017",7.62,7.63,5.86,5.94,2209,28060700
"Jul 14, 2017",4.68,8.80,4.59,7.64,8547,17227600
"Jul 13, 2017",6.24,6.25,4.42,4.69,21287,22946500
"Jul 12, 2017",6.45,6.98,5.00,6.23,31006,23706700
"Jul 11, 2017",7.52,8.32,6.45,6.46,6682,27628400
"Jul 10, 2017",8.18,9.02,6.99,7.53,5637,30046400
"Jul 09, 2017",8.38,8.41,7.22,8.16,3645,30790400
"Jul 08, 2017",7.91,9.25,7.33,8.37,8647,29050700
"Jul 07, 2017",10.02,10.04,7.45,7.90,7462,36799700
"Jul 06, 2017",10.05,10.25,8.64,10.01,17080,36895600
"Jul 05, 2017",11.48,11.48,9.67,10.04,8218,42138200
"Jul 04, 2017",9.36,12.65,9.36,11.48,20324,34359900
"Jul 03, 2017",10.73,12.31,8.59,9.38,19936,39358900
"Jul 02, 2017",7.26,11.98,6.42,10.77,23492,26607300
"Jul 01, 2017",9.04,10.08,6.77,7.26,4238,33108100
"Jun 30, 2017",9.73,13.38,4.76,9.01,17737,35633600
"Jun 29, 2017",10.58,14.61,7.91,9.72,36324,38691700
"Jun 28, 2017",16.27,16.27,9.33,10.59,10991,59482100
"Jun 27, 2017",9.71,16.16,8.03,16.16,58054,35293000
"Jun 26, 2017",13.13,17.69,9.50,9.50,19036,47709600
"Jun 25, 2017",18.81,23.44,12.45,13.15,30563,68327700
"Jun 24, 2017",19.64,19.86,16.52,18.79,1828,71299900
"Jun 23, 2017",17.24,19.86,13.64,19.63,2056,62536600
"Jun 22, 2017",16.87,17.74,12.12,17.24,1902,61099000
"Jun 21, 2017",16.87,16.87,16.85,16.87,6985,61026000
"Jun 20, 2017",16.24,17.74,10.55,16.87,2229,58635700
"Jun 19, 2017",14.99,17.74,8.99,16.24,981,53981200
"Jun 18, 2017",10.49,14.99,10.49,14.99,914,37774500
"Jun 17, 2017",14.99,16.74,10.49,10.49,1230,53690100
"Jun 16, 2017",14.43,14.99,13.86,14.99,351,17952400
"Jun 15, 2017",10.08,14.45,7.19,14.45,2922,12336300
"Jun 14, 2017",11.40,16.43,9.63,10.08,14219,-
"Jun 13, 2017",11.23,14.02,11.13,11.41,9395,-
